Name,Location,Address
,Korean IT Companies," Hồ Chí Minh, Hà Nội "
,DevOps," Quận Bình Thạnh, Hồ Chí Minh "
,Java Team Leader, Hồ Chí Minh - Hà Nội 
,Java Developer," Quận Hải Châu, Đà Nẵng - Quận Hải Châu, Đà Nẵng - Quận 1, Hồ Chí Minh "
,Sr. Back-end Developer (PHP/Laravel)," Quận 5, Hồ Chí Minh - Quận Đống Đa, Hà Nội "
,Flutter Engineer (Android/IOS)," Quận 12, Hồ Chí Minh "
,CHUYÊN VIÊN TÍCH HỢP HỆ THỐNG (BACK END DEVELOPER)," Quận 3, Hồ Chí Minh "
,Senior Java Developer," Thành phố Thủ Đức, Hồ Chí Minh "
,Software Quality Engineer (Software Tester)," Thành phố Thủ Đức, Hồ Chí Minh "
,Sr. Frontend Developer (Angular/ReactJS/VueJS)," Quận Tân Bình, Hồ Chí Minh "
,Chuyên viên Kiểm thử (Tester)," Quận Hoàn Kiếm, Hà Nội - Quận Hải Châu, Đà Nẵng "
,Senior Java Engineer - 1-month joining bonus," Quận Tân Bình, Hồ Chí Minh - Quận Hải Châu, Đà Nẵng - Quận Nam Từ Liêm, Hà Nội - Thành phố Huế, Thừa Thiên Huế "
,Microsoft Dynamics AX Software Developer," Quận 3, Hồ Chí Minh "
,"Frontend Engineer (ReactJS, TypeScript)"," Thành phố Hải Dương, Hải Dương - Quận Thanh Xuân, Hà Nội - Quận 7, Hồ Chí Minh "
,Web Automation Test Lead," Quận 12, Hồ Chí Minh "
,"[DI3] DevSecOps (DevOps, Cloud) - 1Y418"," Quận Đống Đa, Hà Nội "
,Mid/ Senior Data Engineer," Quận 3, Hồ Chí Minh "
,JAVA DEVELOPER," Quận Bình Thạnh, Hồ Chí Minh "
,[Leader] Front-end Development (VueJS/NuxtJS)," Quận 1, Hồ Chí Minh "
,Backend Engineer (PHP/NodeJS)," Thành phố Thủ Đức, Hồ Chí Minh "
,Automation Test Engineer," Quận Phú Nhuận, Hồ Chí Minh "
,Outsystems Developer (DevOps) - Upto 2500$," Quận 12, Hồ Chí Minh "
,PHP Developer (Laravel)," Thành phố Thủ Đức, Hồ Chí Minh "
,Senior Magento Developers," Quận 7, Hồ Chí Minh "
